"","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18"
"32",0,0,0,0,16,290,0,0,0,15953,0,943,0,0,0,159,15,2106
"39",0,0,0,NA,NA,0,0,0,0,42,0,0,0,NA,752,1186,2472,2528
"55",0,0,NA,NA,NA,NA,0,0,0,4872,0,0,0,0,0,112,0,0
"56",NA,0,0,0,14,0,0,0,0,7,0,0,0,0,0,1186,563,2533
"58",0,0,0,1298,690,1298,7,0,0,7,0,0,0,0,0,112,0,2533
"59",127,76,NA,0,14,0,0,0,0,337,7,0,0,0,0,1186,0,191
"81",0,0,0,0,16,0,0,0,0,35,59,0,0,0,0,159,0,0
