"","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18"
"32",0,0,0,0,0.01,0.22,0,0,0,0.64,0,0.4,0,0,0,0.07,0.01,0.78
"39",0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0.57,0.49,1,0.94
"55",0,0,NA,NA,NA,NA,0,0,0,0.19,0,0,0,0,0,0.05,0,0
"56",NA,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.49,0.23,0.94
"58",0,0,0,1,0.6,1,0,0,0,0,0,0,0,0,0,0.05,0,0.94
"59",0.14,0.08,NA,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.49,0,0.07
"81",0,0,0,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0.07,0,0
