"","Estimate.standard.methods","Std..Error.standard.methods","t.value.standard.methods","Pr...t...standard.methods","Estimate.use.cent","Std..Error.use.cent","t.value.use.cent","Pr...t...use.cent","Estimate.rm.cooks","Std..Error.rm.cooks","t.value.rm.cooks","Pr...t...rm.cooks","Estimate.omit.first.6","Std..Error.omit.first.6","t.value.omit.first.6","Pr...t...omit.first.6","Estimate.wind.support","Std..Error.wind.support","t.value.wind.support","Pr...t...wind.support","Estimate.med4mean","Std..Error.med4mean","t.value.med4mean","Pr...t...med4mean"
"intercept",1.43808615221937,0.544556437824275,2.64083950226556,0.0215403422269361,1.38247416172569,0.54741339397134,2.52546645177277,0.0266403721035592,1.73072573242313,1.21460243800241,1.42493187751999,0.177740667959498,1.03179123521537,0.845924336714768,1.21972047668287,0.246001486749811,1.45120360179438,0.892903726870604,1.62526323737104,0.130063785941121,1.56962117504342,0.795755475468992,1.97249183126052,0.0720433205476664
"x.minus",-0.103009266228137,0.0202388884503017,-5.08967014078292,0.000266334931413751,-0.12135929575753,0.0203450695781915,-5.96504697568685,6.55982380648829e-05,-0.0922218464966144,0.0443955515618968,-2.07727673724332,0.058159118755597,-0.0760919463271404,0.0314394745870038,-2.42026774705054,0.0323016496303844,-0.151471418163988,0.0331855023093572,-4.56438527740104,0.000649768172156216,-0.112755511572878,0.0295749075450849,-3.81253978227963,0.00247278198088245
"x.plus",0.168355188638743,0.0339504085401549,4.95885604556483,0.000331410630101478,0.176070549678082,0.0341285256674846,5.15904353424298,0.000237409636935627,0.184467636661744,0.0759582669138245,2.42853930397102,0.030414135698675,0.164211562320234,0.0527392109076369,3.11365224268942,0.0089598463187916,0.194435162324455,0.0556681442155059,3.49275451992339,0.00444075067615787,0.149886521798634,0.0496114298054731,3.02120947504114,0.0106389779164676
