"","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18"
"46",NA,0,0.01,0,1,0.02,0,0,0,0.05,0,NA,0,0,0,0.07,0.01,0
"47",0,0,0,0,0.11,0,0,0,0,0,0,NA,0,0,0,NA,0.09,0
"53",0,0,0.58,0,0,0,0,0.01,0,0.05,0,NA,0,0,0,0.2,0,0
"67",NA,0,0,0,0.01,0,NA,NA,NA,NA,NA,NA,0,0,0.02,0.07,0,0
"69",0,0,NA,0,0.07,0.79,0,0,0,0.05,0,NA,0,0,0,0.21,0.01,0
"74",0,0,0.01,0,0,0,0,0,0,0.05,0,NA,0,0,0,0.07,0,0
"76",0,0.01,0,0,0,0,0,0,0,0.05,0,0,0,0,0.02,0.95,0.01,0
"78",0,0,0.05,0,0.39,0.13,0,NA,NA,0,0,NA,0,0,0,0.2,0,0
"95",0,0,0,0,0.06,0.11,0,0,0,0.05,0,1,0,0,0.03,0.36,0,0
